00000000,none,0.0,0,Genesis
a114d95187f6f72c5f037cfda1f5a7e318fdebae24f684442464c89b54216efe,67adacdf885facca9e1e597bf253ed0368031e60dce2771f3f0c8ec363c74cee,360.0,36,0
9864ac15dc1d7ed8891660a783b2f1ee53acdcb1c1ff615fb8cadfc4cf7adc89,a114d95187f6f72c5f037cfda1f5a7e318fdebae24f684442464c89b54216efe,370.0,37,1
2695d85407de36519817fb6f70803c9a8b6528d8b735cfa7d96104ed75101d2d,9864ac15dc1d7ed8891660a783b2f1ee53acdcb1c1ff615fb8cadfc4cf7adc89,380.0,38,0
34f5b73792802e77e3a56724e24cbe46a12cf446c9fc72e7b5f51199e20d11e7,2695d85407de36519817fb6f70803c9a8b6528d8b735cfa7d96104ed75101d2d,390.0,39,1
7e1f3b7ec3baaf8a2622a14affeef125c8f6fafbb6b68e8799fbd88cc1c21e9c,34f5b73792802e77e3a56724e24cbe46a12cf446c9fc72e7b5f51199e20d11e7,400.0,40,0
44c215f203aa0e2d2c5858b3e3d3e3ccc6011a5924c289bfbb3df73a92dcc11a,7e1f3b7ec3baaf8a2622a14affeef125c8f6fafbb6b68e8799fbd88cc1c21e9c,410.0,41,1
09b31d2c233c0f4954a812ebf925b9d46629128e546e1af377495479e04b9a7b,44c215f203aa0e2d2c5858b3e3d3e3ccc6011a5924c289bfbb3df73a92dcc11a,420.0,42,0
0f309393615cb8b39c7a83872b513e87013b1db7845e98e2afeac2c2d2fd9ec2,09b31d2c233c0f4954a812ebf925b9d46629128e546e1af377495479e04b9a7b,430.0,43,1
b3db62b7afa30f5ded322b0869d294544371ddead3cd9fcc8b4413013f5feeeb,0f309393615cb8b39c7a83872b513e87013b1db7845e98e2afeac2c2d2fd9ec2,440.0,44,0
73fce29462a37c5a48d8a6779b0b8214f2ba68085091880fc89085373a203921,b3db62b7afa30f5ded322b0869d294544371ddead3cd9fcc8b4413013f5feeeb,450.0,45,1
ddd5b430e63a13048ca2bc6db60c05fd9764486341cfb7fdb8241ebad6d31a03,73fce29462a37c5a48d8a6779b0b8214f2ba68085091880fc89085373a203921,460.0,46,0
